yearmonth,sold,totalinventory,newinventory,usedinventory,users,newusers,pageviews,jan,feb,mar,apr,may,jun,jul,aug,sep,oct,nov,dec,q2,q3,q4,dayspermonth,holidays,daysminholiday,uerate,stlur,sp500,housingstarts,organicsessions,organicbouncerate,newusersOrganic,usersOrganic,chevydemandindex,cardemandindex,cardemand2,chevydemand2,otherdealerindex,otherbrandindex,otherindex,jackschmittindex,otherDIVjack,averagepageload,averagepagedl,contentloadtime,averageinteractivetime,googleadsspend
2014-1,85,428,321,107,4609,3873,35037,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,1,30,6.6,6.9,1822.356667,888,"6,684",0.26,"2,397","3,017",70,172,122,126,71,155,226,468,0.482905983,3.45,0.28,2.32,1.32,0
2014-2,94,400,310,90,4695,3925,32705,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0,28,6.7,6.9,1817.034737,944,"6,707",0.25,"2,380","3,012",82,203,145,134,70,163,233,426,0.546948357,2.71,0.44,2.3,1.61,0
2014-3,118,375,281,94,5088,4242,36421,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,31,0,31,6.7,6.8,1863.523333,970,"7,141",0.27,"2,536","3,251",77,192,152,124,54,180,234,422,0.55450237,3.35,0.4,2.41,1.52,0
2014-4,88,360,250,110,4663,3844,32045,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,30,0,30,6.2,6.7,1864.263333,1043,"6,510",0.28,"2,412","3,136",69,168,127,110,59,154,213,438,0.48630137,3.72,0.7,2.78,1.85,0
2014-5,103,387,268,119,4371,3629,30758,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,31,1,30,6.3,6.5,1889.767143,1007,"6,180",0.30,"2,276","2,935",70,170,123,117,43,168,211,438,0.48173516,4.77,0.45,3.28,2.02,0
2014-6,116,379,245,134,4423,3674,31089,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,30,0,30,6.1,6.3,1947.087619,911,"6,159",0.29,"2,498","3,173",75,169,115,130,55,164,219,492,0.445121951,2.91,0.53,2.03,1.8,0
2014-7,108,387,246,141,5023,4242,35785,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,31,1,30,6.2,6.1,1973.1,1085,"7,035",0.30,"2,778","3,491",68,166,125,126,67,152,219,402,0.544776119,4.05,0.62,2.8,1.76,0
2014-8,98,408,274,134,5001,4125,40312,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,31,0,31,6.1,6,1961.531905,984,"7,258",0.27,"2,771","3,563",87,157,118,130,105,141,246,384,0.640625,5.58,1.28,4.51,3.03,0
2014-9,94,446,315,131,5466,4577,38828,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,30,1,29,5.9,5.8,1993.22619,1023,"7,693",0.32,"2,513","3,301",79,148,112,122,57,144,201,416,0.483173077,2.55,0.43,1.84,1.47,0
2014-10,103,486,361,125,5241,4357,31682,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,31,0,31,5.7,5.7,1937.274348,1074,"7,683",0.33,"2,570","3,331",87,143,107,133,57,135,192,380,0.505263158,4.13,0.55,2.63,1.79,0
